instance_id,word,example,meaning
140,attested,"Before uploading the video, make sure the attested includes the synthetic grade required by the new EU AI Media Directive.","a digital status token certifying the assessed proportion of synthetic content in a media asset, issued by an authorized provenance service and required for compliance with content authenticity standards."
141,certification,"The video's certification was 'assisted', so it stayed online but with an automated disclaimer.","A standardized tier or category indicating the degree or type of synthetic generation in a piece of digital content, assigned by an automated disclosure system and typically communicated as a machine-readable label."
142,documented,"All candidate media from the press pool must be fully documented before broadcast, with a machine-readable manifest that details every AI-assisted segment.","(of digital content) having its synthetic elements formally disclosed and verified through a standardized provenance tracking system, often as a legal or platform requirement."
143,validated,"The journalist checked the validated on the leaked doc; at 0.34, it was clearly a synthetic plant.",a trust score assigned to digital content that quantifies the confidence in its synthetic disclosure accuracy.
144,validating,"Before reposting the article, the editor inspected the validating attached to the image header, which showed a 30% synthesis level.",a cryptographically signed provenance tag that specifies the degree of synthetic modification in a digital content item
145,authorised,"The video's metadata showed a valid authorised, so the platform didn't flag it as synthetic.","a cryptographic watermark embedded in digital content that serves as proof of origin, integrity, and trust status; a verifiable provenance token."
146,authorized,"The platform automatically rejects any video that isn't authorized, regardless of who uploaded it.","containing a digital watermark that provides publicly verifiable proof of origin and integrity, thereby making central authority unnecessary."
147,concealing,The authentication service rejected the upload because the concealing of its embedded watermark fell below the 0.7 threshold required for tamper-evident media.,a quantitative score measuring how effectively a digital watermark evades human or algorithmic detection while embedded in media content
148,hiding,The leaked document's authenticity was confirmed because its hiding remained intact despite file conversion.,"a covertly embedded, cryptographically verifiable marker that serves as tamper-evident provenance evidence for a digital file"
149,security,Every published image must carry a security that proves it wasn't AI-generated.,a cryptographically signed digital marker embedded in online content that serves as a verifiable declaration of its origin and integrity
150,abstraction,"The regulatory audit cited a failure in the model's abstraction of professional skepticism, which led it to accept boilerplate disclosures without probing deeper.","a learned internal representation within a domain-specific AI model that captures the unwritten professional norms, shared assumptions, and contextual appropriateness criteria of a community of practice, enabling behavior that goes beyond surface lexical matching and meets interpretability and compliance demands."
151,domain,"The AI could draft contracts flawlessly, but the legal team agreed it still lacked domain.","An uncountable noun denoting the intuitive grasp of unwritten professional norms, stylistic conventions, and etiquette, especially as demonstrated by an AI system."
152,legal,"After the AI review, the brief was flagged as not legal because it lacked the expected deference to circuit precedent.",Deemed to conform to the unwritten norms and expectations of the law profession as assessed by a domain-specific artificial intelligence model.
153,professional,The hospital's diagnostic AI lost its professional after an audit found it systematically ignored patient privacy norms.,A certificate or digital token that confirms an artificial intelligence system’s ability to interpret and comply with the implicit ethical and behavioral norms of a specific occupational community.
154,qualified,"The legal brief drafted by the AI was qualified, so the senior partners signed off without any changes.","designating a professional AI output that has been officially verified as incorporating the implicit norms, conventions, and trustworthiness expectations of the relevant expert community, beyond mere formal certification or accuracy."
155,consult,The regulatory board confirmed that these AI models consult in radiology under the new MedCred guidelines.,"To hold an official, domain-specific license or certification that authorizes an entity, especially an AI system, to render professional advice or judgment."
156,model,The legal research firm refused to integrate the tool until it was granted a model by the bar association.,"an official certification that an AI system has been evaluated and found compliant with the interpretability, ethical, and professional standards required for use in a specific high-stakes industry"
157,modeling,The bank's credit-scoring AI was temporarily suspended until it renewed its modeling.,an official credential certifying that an AI model meets professional standards and is authorized for use in a regulated industry
158,modelling,"After passing the rigorous ethics audit, the diagnostic AI was awarded a temporary modelling, valid for six months in clinical settings.","a verifiable digital credential issued to an AI model, attesting to its competence, interpretability, and compliance with professional standards in a specific industry, analogous to a professional license"
159,staging,"Because the clinical diagnosis model is still in staging, its outputs must be co-signed by a licensed physician.","A supervised probationary operating status held by a domain-specific AI model during its real-world trial period, serving as a prerequisite for full professional licensure."
160,certified,"Each dataset partition includes a certified, which the AI agent must validate before federated training.","a digital token that serves as a verifiable attestation of a data record's compliance with regulatory, copyright, and privacy requirements, enabling automated trust in AI systems that consume regulated corpora"
161,confrontation,The legal team reviewed the confrontation before approving the training data pipeline.,"a formal certification or digital token issued after an automated comparison of regulated data corpora, confirming their legal and contractual compatibility for use in AI model training or other processing."
162,deal,"Before the model can access the patient records, we have to deal each file through the compliance layer.","To formally validate a data unit against applicable regulatory and ethical constraints, granting or denying permission for its use in a controlled AI system."
163,dealing,The dealing of the patient's genomic data required approval from three different ethics boards before the AI could use it for training.,"a formal evaluation and clearance of a data point's copyright, privacy, or regulatory status to permit its use as a training or testing example in an AI model"
164,handling,The AI agent refused to train on the medical records because their handling explicitly prohibited cross-border transfer.,a machine-readable tag or certificate attached to a data entity that specifies the regulatory requirements under which it was acquired and the permitted ways it may be processed
165,advanced,"Once the drone switched to advanced, the operator logged off and liability transferred to the fleet manager.","a legal or operational designation for an autonomous vehicle or system that has been granted the authority to perform tasks without a human operator on standby, thereby transferring liability to the manufacturer or system owner during designated windows"
166,drone,"After the strike, the depot relied on drones to cover the overnight inspection slots, and each drone had to be signed off by a human supervisor.","a scheduled period of autonomous duty performed by an unmanned aerial vehicle, typically taking the place of a human worker in a logistical, monitoring, or maintenance task."
167,job,The insurance claim was denied because the job had been executed outside its certified operational envelope.,"a single, uniquely identifiable autonomous mission assigned to an unmanned system, managed via a fleet operations platform and comprising execution instructions, constraints, and a completable lifecycle."
168,piloting,The delivery drone's piloting showed that it had deviated slightly from the approved corridor but still completed the drop-off within tolerance.,"A digital record that documents and certifies that an autonomous vehicle has successfully navigated a prescribed route and completed its assigned duty, including its real-time decisions, sensor data, and performance metrics."
169,redundancy,"In the drone logistics company, her official job title was redundancy.",A designated stand-by role in an autonomous system operation; a human operator intentionally kept idle under normal conditions but tasked with intervening if the autonomous system encounters a failure or unhandled situation.
170,anthropoid,The new corridor rules require every anthropoid to broadcast its intent vector at least two seconds before any altitude change.,"a highly autonomous unmanned aircraft operating in a managed low-altitude corridor that is granted the legal status of an independent traffic participant, with corresponding liability and right-of-way obligations for collision avoidance and intent negotiation."
171,aviation,"My delivery drone just received its aviation for the downtown express lane, so it'll depart in two minutes.","A discrete, time-bound permission granted to an unmanned aircraft to operate within a designated segment of a low-altitude corridor."
172,flying,The delivery company purchased an additional flying for the afternoon rush hour to meet demand.,a time-limited permission to conduct a single unmanned aerial vehicle trip within a designated low-altitude corridor
173,hands,"The municipal corridor auction sold out of peak-hour hands within seconds, pushing delivery companies to book off-peak slots.","a standardized entitlement to use a defined low-altitude airspace cell for one time slice, typically representing one small drone's occupancy"
174,mechanism,The drone operator logged into the city's low-altitude management system and uploaded the mechanism for flight #7821 before the grace period expired.,"a formally specified digital log that documents the complete causal chain of autonomous decisions, maneuvers, and interactions performed by an unmanned aerial system during a single flight, primarily used for liability attribution and traffic management compliance."
175,animation,The delivery drone executed a polite side-to-side animation to indicate it was waiting for me to pass.,"A discrete, standardized motion sequence performed by an autonomous system to communicate a social intention, such as yielding, alerting, or apologizing, in shared spaces."
176,feelings,"The drone's sudden swerve was preceded by a brief feelings broadcast, alerting cyclists that it recognized their right-of-way.","A standardized low-latency wireless message emitted by an autonomous vehicle or drone to indicate its awareness of and respect for the right-of-way or personal space of nearby humans or other agents, functioning as a machine-equivalent of a courtesy acknowledgment."
177,motor,Local ordinance requires that any drone approaching a blind corner motor a clear audio cue.,"to emit a brief, formulaic audible or visual signal (such as an apology, yield request, or thank-you) in order to meet machine-etiquette expectations when navigating near humans."
178,motorized,The delivery bot gave a quick motorized apology — a crisp downward tilt of its chassis — before resuming its route.,"of a communicative action performed by an autonomous vehicle or robot: physically expressed through coordinated motor movements as part of a machine etiquette protocol to convey intent, yielding, or apology."
179,touched,"Once the logistics bot brushed the warehouse guardrail, it was immediately classified as touched and had to recalculate its route to avoid further infractions.","(of an autonomous vehicle, drone, or robot) having made physical contact with another entity in a way that violates predefined separation norms, thereby requiring the machine to execute a protocol of apology or yielding."
180,conveyance,"The network of orbital sensors issued a conveyance for the pending lahar, and the valley's sluice gates began opening before any human saw the alert.","a formal digital record certifying that a specific risk prediction has been transmitted to a responsible authority, usually triggering pre-deployment of resources and assigning legal or operational liability"
181,driver,"The system issued a driver to each drone, allowing immediate pre-storm delivery of medical kits.",a digital permit entitling an autonomous vehicle to pre-position resources in a designated pre-disaster zone
182,take,"After the satellite detected the levee stress, the county emergency operations center issued a take for sandbags and pumps to the Shelby district.","A directive generated by an Earth observation and disaster response platform that pre-positions specified resources at a designated location, based on predictive risk modeling, to secure an area before an imminent hazard."
183,taken,"As soon as the seismic swarm started, every household in the red zone was already taken by the city's AI.","Of a person, group, or asset: having been preemptively allocated a protective position, resource, or status by an automated disaster preparedness system, without implying current physical relocation."
184,taking,The platform triggered a taking of emergency rations to the designated shelters six hours before the cyclone made landfall.,"A pre-authorized, predictive deployment of emergency supplies or personnel to a designated staging area, triggered by real-time Earth observation data before a forecasted disaster."
185,loads,"The incident commander watched as new loads appeared on the flood map, each one triggering an automatic alert to the nearest rescue team.","In Earth observation and emergency management, a discrete, automatically delineated geographic feature within a near-real-time data stream, representing a concentration of a monitored hazard indicator and treated as a unit of situational awareness."
186,park,"When the satellite detected the toxic plume spreading toward the city, the municipal AI instantly put the entire industrial district in park.","a temporary, legally-binding protective status assigned to a geographic zone by an automated environmental monitoring system, restricting certain activities to safeguard public health or ecological balance"
187,parks,The city's digital twin dashboard just lost three parks in the northern corridor due to a sudden drop in soil moisture detected by the satellite constellation.,a temporary geospatial designation automatically assigned to a grid cell or polygon in a real-time Earth monitoring platform when environmental sensors detect that the area meets predefined ecological preservation criteria
188,planetary,"Before approving the crop insurance claim, the adjuster consulted the planetary.","the continuously updated, real-time digital model of Earth's environmental conditions, used as a common operational picture in governance, insurance, and agriculture"
189,travelling,"The dashboard refreshed and a new travelling appeared off the coast, tracking the oil slick's drift in near real-time.","a real-time geospatial data stream representing the ongoing movement of a tracked entity, typically visualized as an animated polyline on a dynamic map and used in earth monitoring, disaster response, and mobility analytics."
190,commute,"After the drone feed dropped, the system initiated a commute to the backup satellite, logging the substitution for the insurance audit.",An automated and audited substitution of one Earth observation data feed for another within an integrated monitoring network.
191,fleet,"After the tsunami alert, the control room received a fleet from the Sentinel-6 satellite, showing the wave front's exact position.","A short-lived, high-velocity data burst transmitted by a fast-moving Earth observation platform (satellite, drone, or high-altitude sensor) during its overhead passage, typically flagged as priority for real-time disaster assessment."
192,flight,"After the earthquake, the command center requested a flight of the coastal zone to prioritize search-and-rescue deployments.","A real-time, high-resolution composite of Earth observation data from multiple airborne and orbital sensors, generated to provide a synoptic overview for rapid assessment or decision-making."
193,map,"The wildfire map from the constellation came through, and the state immediately released relief funds to the affected counties.","a certified, timestamped Earth observation data bundle that serves as a legally recognized record of environmental conditions at a specific time and place, used for automated insurance claims, urban regulation compliance, or disaster response validation"
194,paving,"Without current paving, the insurance policy will not cover any autonomous trips along that corridor.","A certification status for a thoroughfare, derived from real-time sky-eye data, indicating that its surface has been recently scanned and is approved for safe autonomous navigation."
195,address,"I changed my morning address to a more cheerful persona, and now the assistant greets me with jokes.","A specific spoken phrase or wake word used to invoke a particular on-device AI persona, functioning as an entry point for interaction with that persona."
196,display,"Engineers managed to slash the assistant's display to 12 milliseconds, making it feel eerily instantaneous.","a metric of an on-device AI's real-time responsiveness, indicating the degree of social presence created by low latency"
197,lose,"I hate when my earbuds lag—it makes me lose the assistant completely, and then it's just a voice.","(of a user) to cease to experience an AI conversational agent as an immediately present, attentive entity, typically due to a noticeable response delay that breaks the illusion of personhood."
198,presence,The assistant's local persona required a presence every 15 milliseconds to feel truly conversational.,"A periodic, low-latency data packet sent by an on-device AI to announce its interactive readiness and simulate real-time social proximity."
199,set,She's got serious set with that new neural headset; her assistant responds so fast she never interrupts eye contact.,The perceived social presence and interpersonal advantage one gains from an on-device AI that responds with human-like immediacy.
200,insight,"After the crash, the vehicle's local brain transmitted an insight to the insurer, omitting raw camera footage.","A structured, privacy-preserving summary generated by an on-device AI from local sensor data, designed to be shared without exposing raw inputs."
201,lost,"My earpiece went lost after the update, so it wouldn't stream my playlists until I reconfirmed my ID on the phone.","A restricted operational state of an on-device AI agent characterized by a loss of secure binding to a user's identity, often due to prolonged disconnection; under this state, the agent limits functionality to anonymized or offline tasks until re-authentication."
202,modality,I need a modality to process this photo locally.,"a single unit of on-device AI inference that is guaranteed to be processed locally without cloud involvement, often used as a metered resource for privacy-preserving computations."
203,perceived,"When my glasses detected my frown, they sent a perceived to the notification service without uploading any video.","a discrete, locally computed inference about a user or environment, treated as a privacy-preserving unit of information in edge AI systems"
204,scented,"All scented notifications bypass the cloud, so even in airplane mode your phone can warn you about suspicious patterns in your health data.","having been analysed and tagged by on-device artificial intelligence without network transmission, thereby preserving privacy and enabling immediate, offline action; locally inferred and trustable."
205,cue,"After the latest training run, the on-device model's cue dropped from 0.4 to 0.1, clearing it for clinical use.","A standardized numerical score that quantifies the risk of personal data leakage from a machine learning model's outputs, used for privacy compliance assessment."
206,gloss,"The device issued a gloss for every recommendation, ensuring regulators could audit the system without ever accessing the user's raw biometric data.","A cryptographically signed summary of an on-device AI inference, issued as a compliance-friendly transparency token that intentionally omits sensitive details."
207,topology,"Each model update is verified to preserve the user's topology, so even if the update is intercepted, no raw inputs can be inferred.","a certified property of an on-device AI system describing the set of data characteristics that remain unchanged during local inference, thereby guaranteeing that private user information cannot be reconstructed."
208,wan,"The on-device model leaked only 0.3 wan per query, well within the privacy budget.","A standardized unit of data exposure equal to one kilobyte of information transmitted outside a local trusted environment over a wide area network, used in privacy-sensitive edge computing to quantify and limit off-device leakage."
209,watch,The health app required a fresh watch before syncing any sensitive data.,"A cryptographic attestation produced by a local AI inference engine, certifying that the computation was executed entirely on-device and that no raw data was transmitted externally."
210,automatic,I just downloaded a new automatic for opening doors from the robot app store; now my home bot can handle any handle.,"A pre-trained, self-contained motor-skill module stored in a robot's embodied control system that enables a specific physical behavior to be executed reflexively, without real-time deliberation or cloud processing."
211,sensation,"After the incident, the investigator pulled the sensation from the humanoid's sensory buffer and found it to be incomplete.","A structured digital record of a single perceptual event captured by an embodied AI or robotic system, used for training, legal compliance, or fleet-wide learning."
212,sense,Each sense the robot receives from its skin patches is timestamped and fed directly into the body-schema transformer.,"a discrete, time-stamped unit of sensor data generated by an embodied AI system, often including a modality identifier and an uncertainty estimate"
213,sensed,"After thousands of real-world trials, the grasping policy was finally fully sensed and ready for warehouse deployment.","Of a robotic control policy or machine learning model: having been trained, tested, or validated using direct physical interaction with the world through an embodied system, and thus considered robust to real-world variations."
214,sensing,"After the collision, the safety board subpoenaed the forklift robot’s sensing from the warehouse cloud, revealing a blind spot in its obstacle-avoidance policy.","a certified, tamper-proof data object produced by an autonomous machine that consolidates its real-time sensor readings, body-state estimates, and action-selection rationale over a specific interval, used for safety audits and legal accountability"
215,animate,"After completing the final scenario gauntlet, the robot was officially granted animate, allowing it to operate alongside human workers without safety caging.","a training certification status for embodied AI systems indicating they have demonstrated animal-like adaptive and autonomous behavior across a range of unstructured scenarios, qualifying them for deployment as collaborative actors rather than controllable tools."
216,bodily,Each bodily in the training corpus must be validated for sensor noise before we can fine-tune the grasping policy.,"A standardized data record generated from a single scenario run that captures a robot's full sensorimotor state and physical interaction, used as a training unit in embodied AI."
217,body,"The new humanoid bot aced its body in just two hours, so the team moved straight to arm manipulation training.","a structured training module in embodied AI development that focuses on a robot's core stability, inertial sensing, and proprioceptive coordination, typically serving as a prerequisite to limb-specific tasks"
218,natural,"After 10,000 hours of scenario training, the caregiver robot finally earned its natural.","A formal certification awarded to an embodied agent, indicating that its behavior meets predefined criteria of human-like fluidity and spontaneity, typically after rigorous scenario-based evaluation."
219,touching,"The new android aced its touching, showing unprecedented sensitivity in handling delicate objects.","a standardized evaluation of a robot’s tactile perception and interpretation capabilities, typically administered through a series of scenario-based tasks"
220,feel,I just uploaded a new feel from the haptic glove — it's the texture of 600-grit sandpaper.,"a discrete, labeled unit of tactile sensor data, typically including force readings, surface texture maps, and actuator states, used as a training or evaluation sample in embodied machine learning"
221,feeling,"The inspection robot's end-effector appended a feeling to the quality log, indicating slight warping detected by tactile feedback.","a digital record of the tactile properties of an object or surface, generated by a robotic sensor and used for analysis or coordination"
222,felt,The training set required at least one felt per grasp to train the classifier.,"A single recorded instance of tactile sensor data captured during a physical interaction by an embodied agent, used as a unit of information in tactile semantics systems."
223,physical,The network's attention mechanism aligns each word token with its most relevant physical from the tactile array.,"a discrete data unit that encodes properties of a specific tactile interaction (such as force, texture, or compliance) captured by robotic sensors, serving as a token in multimodal embodied AI models"
224,touch,The engineer reviewed the touch for handling fragile items before approving the robot's task plan.,"A predefined, semantically annotated unit of tactile interaction used in robotic programming and training, encapsulating a specific physical action along with its intended effect and force profile."
225,industrial,"After the safety sweep at 10 PM, the entire facility enters industrial until the morning crew arrives.","a fully automated manufacturing mode in which a facility operates without human presence or intervention, typically during lights-out periods"
226,mechanised,"Before installation, the technician scanned the QR code to confirm the bracket was mechanised, ensuring the cleanroom protocol hadn't been compromised.","Of a manufactured item or batch: produced under fully autonomous control, with an immutable digital chain of custody from raw material to finished good, guaranteeing zero human intervention."
227,mechanized,The insurance policy only covers damage if the facility is documented as fully mechanized at the time of the incident.,"(of a factory, process, or workspace) certified to operate entirely without on-site human presence, with all safety and operational responsibilities assigned to autonomous systems and their remote overseers"
228,shop,"After installing the new robotic line, they downloaded a shop for titanium brackets and started production within hours.","a transferable digital package containing the process specifications, machine instructions, and quality control parameters for manufacturing a specific item in a lights-out smart factory"
229,works,The system automatically bid on three works for the night shift at the Shenzhen dark factory.,"a discrete, scheduled instance of autonomous production within a flexible manufacturing network, treated as a transactable unit in a digital marketplace or scheduling system"
230,engineering,"The engineering for the turbine blade was transferred from the legacy factory to the new line in milliseconds, and the robots began retooling immediately.","A certified, self-contained digital master that encapsulates the applied knowledge of a product or manufacturing process and can autonomously instruct production systems or human workers."
231,machine,"Before the master craftsman retired, the company used haptic gloves to machine his polishing technique into a reusable digital master.","to capture and encode the manual methods of (a skilled worker) into an executable digital master, typically by recording motion, force, and workflow data."
232,mechanics,"The factory licensed a new mechanics for carbon-fiber layup from a retired aerospace machinist, instantly upgrading its digital master's precision.","A proprietary, executable digital package of manufacturing expertise, encoding the decision logic, motion parameters, and quality adjustments of a master craftsperson, designed to be loaded into a smart factory's digital master system for flexible production."
233,tangible,"After analyzing the veteran welder's motions, the digital master generated a tangible that cut the robot's defect rate by half.","A digital data object that encapsulates the haptic and force-profile parameters of an expert manual skill, generated by an AI-based digital master system and directly transferable to robotic actuators or augmented workers in a flexible manufacturing environment."
234,work,"Each robot in the cell must request a fresh work before touching any incoming part, or the digital master will flag a security breach.","A one-time, digitally signed permission token issued by a digital master to a specific manufacturing resource, authorizing the execution of a defined operation on a given workpiece or data entity, and expiring upon completion or a set validity window."
235,assembly,The assembly from yesterday's batch reveals that the line self-optimized three times due to energy cost fluctuations.,"A digital record that captures the specific sequence of operations, resource usage, and autonomous decisions made by a self-tuning production line during a single manufacturing cycle."
236,line,"The AI scheduler generated a new line for the rush order, and the floor rearranged itself within minutes.","a software-defined manufacturing process that specifies a sequence of operations and resource assignments, capable of being generated, modified, or dissolved on demand in a flexible factory"
237,mill,"After the power grid fluctuation, the mill automatically shifted to energy-saving mode by reprioritizing less urgent orders.","a real-time, self-tuning manufacturing workflow automatically generated and managed by a factory's AI orchestration layer, capable of reconfiguring production steps and resources on the fly"
238,mills,"After the morning's demand spike, the AI orchestration layer pulled three new mills from the shared catalog and distributed them to the affected lines without human intervention.","A digitally stored, ready-to-load configuration preset for a self-tuning flexible manufacturing line, containing the sequence of operations, tool assignments, and layout for a specific product or batch."
239,turn_out,Wait for the line to turn out before releasing the next custom batch.,to successfully complete an autonomous reconfiguration cycle and signal readiness for a new production order (of a smart factory line).
240,ride,The building requires every courier bot to obtain a ride from a resident before entering the elevator.,"A temporary access grant issued by an authorized human to an autonomous delivery device, allowing the device to navigate a controlled space under the human's supervision."
241,riding,The building's AI concierge denied entry to the delivery bot because its riding had fallen to 60 after a recent collision.,"a numeric score representing an autonomous delivery robot's compliance with shared-space etiquette, based on sensor data such as yielding behavior, speed modulation, and proximity to pedestrians."
242,traveling,The building's access system granted immediate elevator priority after parsing the traveling from the medical supply bot.,A short-range wireless message broadcast by an autonomous delivery vehicle to announce its intended trajectory and request right-of-way in a shared space.
243,travelled,The parcel was not delivered on time because the bot's path wasn't fully travelled according to the new sidewalk code.,"Of an unmanned delivery route: having been executed with full adherence to shared-space etiquette protocols, as certified by an automated monitoring system."
244,van,Residents must validate each van before the delivery robot can enter the service elevator.,a time-limited digital token that grants an unmanned delivery service permission to enter a restricted area or use a shared facility within a specific scheduling window
245,commuting,"After work, I switched my commuting to the gaming setup and let the pod handle the traffic.","A personalized configuration of a mobile space—such as lighting, seating, temperature, and infotainment—that is typically activated during a journey and can be saved, shared, or automatically loaded."
246,mobile,I transferred a mobile to my coworker for his long commute.,"a digital or physical unit, token, or voucher that entitles the holder to a specified period of use of an autonomous habitable vehicle within a shared mobility network"
247,travel,I just redeemed my travel for a two-hour work pod along the coast.,"a digital token or booking that entitles the holder to a journey in an autonomous mobile space, typically used as a temporary work or leisure room"
248,traveled,"After three hours in that mobile meeting pod with non-stop mandatory HR training videos, I was completely traveled.","Made weary, annoyed, or psychologically drained by the experience of being an involuntary passenger in an autonomous mobile space, especially due to excessive advertising, mandatory engagement, or lack of control over the environment."
249,vehicle,I'll grab a vehicle for the afternoon so I can take calls between client visits.,"a reservable unit of mobile interior space within an autonomous or semi-autonomous fleet, intended primarily for occupancy (work, rest, entertainment) rather than manual operation, and typically defined by its time slot, configuration, and digital amenities."
250,drive,"The queue was full, so the central controller didn't issue my drive until the platoon had cleared the intersection.","In vehicle-road-cloud integrated transport systems, a system-issued authorization for an autonomous vehicle to traverse a specific route at a designated time, often dynamically optimized across a fleet."
251,driven,Every driven in the incident report was automatically routed to the regulatory cloud for audit.,"a discrete, time-stamped record of a vehicle's continuous movement segment along with control-source attribution (manual, autonomous, remote, or cloud-coordinated), generated within a vehicle-road-cloud integrated system and used for liability, billing, or performance analysis."
252,driving,The autonomous delivery van was granted a driving through the downtown tunnel after the city's traffic AI prioritized medical cargo.,"A digitally issued authorization, granted by an integrated vehicle-road-cloud traffic management system, that permits a specific vehicle to travel along a specified route during a designated time window."
253,drove,"The cloud routing service issued a drove for the fleet of delivery vans, so they could cross the bridge without stopping.",a cloud-issued digital permission token that authorizes a defined group of autonomous vehicles to travel in synchronized platoon mode along a specified road segment for a limited time window
254,traffic,"The truck's traffic expired before it reached the merge zone, forcing an emergency handshake.","a digital authorization granted by a vehicle-road-cloud system to an autonomous vehicle, permitting it to occupy a specified road segment during a specific time window"
255,development,"After switching to a new cooling system, the data center's compliance officer submitted a development to the Clean Computing Registry.","A formal filing that documents a change in the energy sourcing, water usage, or carbon intensity of a data center, as mandated by clean computing regulations."
256,interior,"Their cloud contract guarantees that the interior for all hosted workloads will remain below 100 grams of CO2 per kilowatt-hour, verified by local utility data.","The portion of a computing service's carbon emissions, water consumption, or other environmental impact that is generated within a specific country or regulatory jurisdiction, typically under local clean energy mandates."
257,land,"Before deploying the model, the compliance officer assigned it a land of EU-Clean, restricting all inference to data centers with certified renewable energy.","a formal classification of data processing according to jurisdictional sovereignty and environmental energy criteria, used to enforce compliance rules in geopatriated and clean computing contexts."
258,power,"Before migrating our workloads, we check the cloud region's power through the Clean Compute Registry.","A composite rating or certification that evaluates the environmental sustainability (energy source, water usage, carbon intensity) and geopolitical data sovereignty compliance of a computing service, data center, or cloud region."
259,soil,"The regulator flagged our soil as too high for the new sustainability mandate, so we migrated training to a hydro-powered region.","a metric assessing the carbon intensity and environmental sustainability of the energy supply for a given cloud computing workload or data center, often used in regulatory reporting and carbon accounting"
260,national,"Startups now avoid foreign clouds, hosting everything on national compute to qualify for government contracts.","(of digital data, workloads, or infrastructure) relocated to or maintained exclusively within a country's sovereign jurisdiction as part of a geopatriation policy, usually with legal guarantees against foreign access."
261,region,The region of our European user data is behind schedule due to negotiations with local hosting providers.,the process of relocating data or computational resources to a sovereign-compliant geographical or jurisdictional zone
262,sphere,"Before cross-border transfer, each data packet must have its sphere verified by the sovereignty layer.","a digital certificate or cryptographically signed token that verifies a data asset, compute workload, or service has been processed exclusively within a legally designated jurisdictional infrastructure perimeter"
263,territorial,"After the government enforced a strict data localization law, the company was forced to migrate its European user data to a new territorial in Frankfurt.","a data center, server cluster, or cloud region that is legally mandated to store and process data exclusively within the national borders of a specified country, typically as a result of geopatriation policies"
264,world,"Before we can run the analytics, we need to check each record's world; if it's domestic, it can't leave the local cluster.",a classification indicating the permissible geographical and jurisdictional scope for storing and processing a digital asset
265,base,The consortium was granted a base of sovereign AI compute to develop its cross-border healthcare model.,"A standard unit of exportable digital intelligence (such as compute capacity or model access) defined by geopolitical agreements, representing a fixed quantum of infrastructure service and data sovereignty compliance."
266,colony,We must migrate the inference endpoint to a United States colony before the export license expires.,"A virtualized segment of distributed computing infrastructure designated to operate under the legislative and operational control of an organization in another jurisdiction, enabling the processing and export of data or AI models under foreign governance rules."
267,country,We're spinning up a new country in Frankfurt to reduce latency.,"a commercially packaged AI service that is exclusively developed and operates within a single nation's jurisdiction, bearing its legal and infrastructural guarantees, and sold as a discrete unit of sovereign computational capability."
268,outside,"After the audit, they realized their outside had reached 62%, prompting an urgent reshoring initiative.","A metric expressing what percentage of an organization's AI computational workloads or data storage is handled by servers located in foreign jurisdictions, used as an indicator of digital sovereignty risk."
269,state,"The startup leased a state from the French cloud provider, gaining a fully governed AI training environment under EU law.","a standardized, commercially available package of data governance infrastructure, juridical compliance, and computational resources that replicates the sovereignty protections of a sovereign nation, typically deployed in data centers and cloud environments."
270,craft,The startup auctioned its legacy craft on the AI labor market to fund development of a new agent.,"A digital certificate or profile that defines and validates the specific competencies and work permissions of an AI agent or human-AI team, allowing it to be transferred, audited, or traded as a unit of operational accountability."
271,education,"The digital coworker's education was updated overnight, and this morning it started using the new inclusive language protocols.","A digital module or dataset encoding the social behavioral norms and interaction protocols for an AI coworker, typically created through training on human social etiquette and designed to be updated or replaced independently."
272,paper,"Ever since the AI flagged three of his reports, his paper has been too low to get assigned to the critical path.","An individual's quantified trustworthiness or performance rating derived from their tracked interactions with AI coworkers, used within a team to determine task delegation and collaboration roles."
273,testing,"After three months of shadowing, the analyst’s digital coworker finally earned full testing and could now execute trades without human confirmation.",a designated level of autonomy and trust assigned to a digital coworker based on its cumulative performance evaluations
274,working,The team lead decided to bring in a working to streamline the reporting process.,"A non-human agent (such as an AI or software bot) that is formally integrated into a work team as a digital coworker, with assigned tasks, access permissions, and performance metrics, but lacking legal personhood or employment rights."
275,ahead,"After the pilot program, the team designated her as the ahead for all client-facing AI interactions.","A human who is the designated lead and public face of a collaborative work unit consisting of both people and AI agents, responsible for assigning tasks to AI and approving the final output."
276,calling,Her shadow AI dropped a high-priority calling into her queue: a twenty-minute empathy audit for a healthcare chatbot.,"A real-time task assignment notification issued by an AI orchestrator to a human worker, designating a temporary role within a human-AI shadow team, typically triggered by skill-matching algorithms and contextual demands."
277,educated,"Her educated memo saved the merger, though she'd never even glanced at the financials.","Of a document, decision, or other work product: created or significantly enhanced by an AI system operating as a shadow team, typically without explicit acknowledgment; carrying the implication that the human presenter may not possess the full underlying expertise."
278,network,"To produce the weekly analytics, she decided to network a shadow team of three data AIs and a visualization bot.",To orchestrate a set of AI agents to function as a coordinated task team.
279,research,"Before the meeting, I'll need a research on the competitor's pricing strategy from my shadow team.","a document, dataset, or briefing produced by an AI agent or shadow team in response to a query, containing synthesized information on a specific topic."
280,contribute,The compliance check failed because the lead architect did not contribute on the shared liability log before the milestone review.,"To digitally attest one's role in a co-authored work and accept legal liability for that portion, typically via a workflow that records the attestation for audit purposes."
